{'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'exp': 'ACDC_runs/vcps_hs',
 'gpu_id': 1,
 'is_hs': True,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet_hsseg',
 'model2': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
total 1312 samples
total 20 samples
Total silices is: 1312, labeled slices is: 68
103 iterations per epoch
  0%|                                         | 0/292 [00:00<?, ?it/s]iteration:1  t-loss1/2:4.5980/4.4152, loss-lb1/2:4.5980/4.4152, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:2  t-loss1/2:3.8616/3.7855, loss-lb1/2:3.8616/3.7855, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:3  t-loss1/2:3.2739/3.1320, loss-lb1/2:3.2739/3.1320, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:4  t-loss1/2:2.9312/2.6124, loss-lb1/2:2.9312/2.6124, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:5  t-loss1/2:2.5891/2.3361, loss-lb1/2:2.5891/2.3361, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:6  t-loss1/2:2.3624/2.0777, loss-lb1/2:2.3624/2.0777, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:7  t-loss1/2:2.2894/1.9940, loss-lb1/2:2.2894/1.9940, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:8  t-loss1/2:2.1193/1.8506, loss-lb1/2:2.1193/1.8506, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:9  t-loss1/2:2.0650/1.7696, loss-lb1/2:2.0650/1.7696, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:10  t-loss1/2:1.8837/1.6821, loss-lb1/2:1.8837/1.6821, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:11  t-loss1/2:1.8064/1.5885, loss-lb1/2:1.8064/1.5885, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:12  t-loss1/2:1.7479/1.5260, loss-lb1/2:1.7479/1.5260, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:13  t-loss1/2:1.6955/1.4932, loss-lb1/2:1.6955/1.4932, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:14  t-loss1/2:1.6278/1.4526, loss-lb1/2:1.6278/1.4526, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
