{'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'exp': 'ACDC_runs/vcps_hs2',
 'gpu_id': 1,
 'is_hs': True,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet_hsseg',
 'model2': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
total 1312 samples
total 20 samples
Total silices is: 1312, labeled slices is: 68
103 iterations per epoch
  0%|                                         | 0/292 [00:00<?, ?it/s]iteration:1  t-loss1/2:4.5980/4.4152, loss-lb1/2:4.5980/4.4152, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:2  t-loss1/2:3.8616/3.7855, loss-lb1/2:3.8616/3.7855, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:3  t-loss1/2:3.2738/3.1320, loss-lb1/2:3.2738/3.1320, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:4  t-loss1/2:2.9318/2.6122, loss-lb1/2:2.9318/2.6122, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:5  t-loss1/2:2.5892/2.3362, loss-lb1/2:2.5892/2.3362, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:6  t-loss1/2:2.3624/2.0776, loss-lb1/2:2.3624/2.0776, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:7  t-loss1/2:2.2888/1.9944, loss-lb1/2:2.2888/1.9944, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:8  t-loss1/2:2.1204/1.8507, loss-lb1/2:2.1204/1.8507, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:9  t-loss1/2:2.0629/1.7683, loss-lb1/2:2.0629/1.7683, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:10  t-loss1/2:1.8840/1.6812, loss-lb1/2:1.8840/1.6812, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:11  t-loss1/2:1.8074/1.5860, loss-lb1/2:1.8074/1.5860, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:12  t-loss1/2:1.7468/1.5248, loss-lb1/2:1.7468/1.5248, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:13  t-loss1/2:1.6858/1.4956, loss-lb1/2:1.6858/1.4956, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:14  t-loss1/2:1.6253/1.4514, loss-lb1/2:1.6253/1.4514, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:15  t-loss1/2:1.6017/1.4027, loss-lb1/2:1.6017/1.4027, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:16  t-loss1/2:1.6531/1.3754, loss-lb1/2:1.6531/1.3754, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:17  t-loss1/2:1.6130/1.4622, loss-lb1/2:1.6130/1.4622, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:18  t-loss1/2:1.5616/1.2884, loss-lb1/2:1.5616/1.2884, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:19  t-loss1/2:1.6585/1.3432, loss-lb1/2:1.6585/1.3432, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:20  t-loss1/2:1.4113/1.1905, loss-lb1/2:1.4113/1.1905, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:21  t-loss1/2:1.3990/1.2339, loss-lb1/2:1.3990/1.2339, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:22  t-loss1/2:1.3812/1.1375, loss-lb1/2:1.3812/1.1375, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:23  t-loss1/2:1.2850/1.1011, loss-lb1/2:1.2850/1.1011, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
