[10:36:39.398] {'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'exp': 'ACDC_runs/vcps_hs',
 'gpu_id': 1,
 'is_hs': True,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet_hsseg',
 'model2': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
[10:36:39.837] Total silices is: 1312, labeled slices is: 68
[10:36:39.837] 103 iterations per epoch
[10:36:41.453] iteration:1  t-loss1/2:4.5980/4.4152, loss-lb1/2:4.5980/4.4152, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:41.576] iteration:2  t-loss1/2:3.8616/3.7855, loss-lb1/2:3.8616/3.7855, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:41.688] iteration:3  t-loss1/2:3.2738/3.1320, loss-lb1/2:3.2738/3.1320, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:41.799] iteration:4  t-loss1/2:2.9318/2.6122, loss-lb1/2:2.9318/2.6122, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:41.911] iteration:5  t-loss1/2:2.5892/2.3362, loss-lb1/2:2.5892/2.3362, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:42.022] iteration:6  t-loss1/2:2.3624/2.0776, loss-lb1/2:2.3624/2.0776, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:42.134] iteration:7  t-loss1/2:2.2888/1.9944, loss-lb1/2:2.2888/1.9944, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:42.245] iteration:8  t-loss1/2:2.1204/1.8507, loss-lb1/2:2.1204/1.8507, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:42.357] iteration:9  t-loss1/2:2.0629/1.7683, loss-lb1/2:2.0629/1.7683, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:42.469] iteration:10  t-loss1/2:1.8840/1.6812, loss-lb1/2:1.8840/1.6812, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:42.581] iteration:11  t-loss1/2:1.8074/1.5860, loss-lb1/2:1.8074/1.5860, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:42.693] iteration:12  t-loss1/2:1.7468/1.5248, loss-lb1/2:1.7468/1.5248, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:42.804] iteration:13  t-loss1/2:1.6858/1.4956, loss-lb1/2:1.6858/1.4956, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:42.916] iteration:14  t-loss1/2:1.6253/1.4514, loss-lb1/2:1.6253/1.4514, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:43.028] iteration:15  t-loss1/2:1.6017/1.4027, loss-lb1/2:1.6017/1.4027, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:43.139] iteration:16  t-loss1/2:1.6531/1.3754, loss-lb1/2:1.6531/1.3754, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:43.251] iteration:17  t-loss1/2:1.6130/1.4622, loss-lb1/2:1.6130/1.4622, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:43.362] iteration:18  t-loss1/2:1.5616/1.2884, loss-lb1/2:1.5616/1.2884, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:43.474] iteration:19  t-loss1/2:1.6585/1.3432, loss-lb1/2:1.6585/1.3432, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:43.585] iteration:20  t-loss1/2:1.4113/1.1905, loss-lb1/2:1.4113/1.1905, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:43.696] iteration:21  t-loss1/2:1.3990/1.2339, loss-lb1/2:1.3990/1.2339, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:43.808] iteration:22  t-loss1/2:1.3812/1.1375, loss-lb1/2:1.3812/1.1375, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:43.919] iteration:23  t-loss1/2:1.2850/1.1011, loss-lb1/2:1.2850/1.1011, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:44.031] iteration:24  t-loss1/2:1.1814/1.0152, loss-lb1/2:1.1814/1.0152, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:44.144] iteration:25  t-loss1/2:1.1856/1.0914, loss-lb1/2:1.1856/1.0914, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:44.256] iteration:26  t-loss1/2:1.3552/1.1834, loss-lb1/2:1.3552/1.1834, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:44.367] iteration:27  t-loss1/2:1.1285/1.0894, loss-lb1/2:1.1285/1.0894, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:44.478] iteration:28  t-loss1/2:1.0780/1.0643, loss-lb1/2:1.0780/1.0643, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:44.590] iteration:29  t-loss1/2:1.0886/0.9834, loss-lb1/2:1.0886/0.9834, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:44.701] iteration:30  t-loss1/2:1.0154/0.9805, loss-lb1/2:1.0154/0.9805, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:44.812] iteration:31  t-loss1/2:0.9662/0.9112, loss-lb1/2:0.9662/0.9112, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:44.923] iteration:32  t-loss1/2:0.9689/0.8939, loss-lb1/2:0.9689/0.8939, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:45.034] iteration:33  t-loss1/2:0.9647/0.9440, loss-lb1/2:0.9647/0.9440, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:45.146] iteration:34  t-loss1/2:1.0767/1.0138, loss-lb1/2:1.0767/1.0138, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:45.257] iteration:35  t-loss1/2:0.9066/0.8979, loss-lb1/2:0.9066/0.8979, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:45.369] iteration:36  t-loss1/2:0.9057/0.8776, loss-lb1/2:0.9057/0.8776, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:45.480] iteration:37  t-loss1/2:0.9186/0.8453, loss-lb1/2:0.9186/0.8453, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:45.591] iteration:38  t-loss1/2:0.9202/0.8831, loss-lb1/2:0.9202/0.8831, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:45.702] iteration:39  t-loss1/2:0.9293/0.8629, loss-lb1/2:0.9293/0.8629, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:45.814] iteration:40  t-loss1/2:0.8521/0.8113, loss-lb1/2:0.8521/0.8113, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:45.925] iteration:41  t-loss1/2:0.8642/0.7639, loss-lb1/2:0.8642/0.7639, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:46.037] iteration:42  t-loss1/2:0.8362/0.7425, loss-lb1/2:0.8362/0.7425, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:46.148] iteration:43  t-loss1/2:0.8929/0.7616, loss-lb1/2:0.8929/0.7616, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:46.259] iteration:44  t-loss1/2:0.8550/0.8428, loss-lb1/2:0.8550/0.8428, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:46.371] iteration:45  t-loss1/2:0.7096/0.6955, loss-lb1/2:0.7096/0.6955, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:46.482] iteration:46  t-loss1/2:0.7453/0.6843, loss-lb1/2:0.7453/0.6843, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:46.594] iteration:47  t-loss1/2:0.7439/0.6528, loss-lb1/2:0.7439/0.6528, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:46.705] iteration:48  t-loss1/2:0.7177/0.7638, loss-lb1/2:0.7177/0.7638, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:46.817] iteration:49  t-loss1/2:0.7110/0.7353, loss-lb1/2:0.7110/0.7353, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:46.928] iteration:50  t-loss1/2:0.7068/0.6212, loss-lb1/2:0.7068/0.6212, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:47.041] iteration:51  t-loss1/2:0.7684/0.7247, loss-lb1/2:0.7684/0.7247, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:47.152] iteration:52  t-loss1/2:0.7081/0.6259, loss-lb1/2:0.7081/0.6259, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:47.263] iteration:53  t-loss1/2:0.7131/0.7131, loss-lb1/2:0.7131/0.7131, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:47.375] iteration:54  t-loss1/2:0.6242/0.5822, loss-lb1/2:0.6242/0.5822, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:47.487] iteration:55  t-loss1/2:0.6253/0.5538, loss-lb1/2:0.6253/0.5538, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:47.598] iteration:56  t-loss1/2:0.7726/0.6700, loss-lb1/2:0.7726/0.6700, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:47.709] iteration:57  t-loss1/2:0.6418/0.6080, loss-lb1/2:0.6418/0.6080, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:47.820] iteration:58  t-loss1/2:0.6219/0.6671, loss-lb1/2:0.6219/0.6671, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:47.933] iteration:59  t-loss1/2:0.6030/0.5974, loss-lb1/2:0.6030/0.5974, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:48.045] iteration:60  t-loss1/2:0.5991/0.5528, loss-lb1/2:0.5991/0.5528, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:48.157] iteration:61  t-loss1/2:0.6447/0.6754, loss-lb1/2:0.6447/0.6754, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:48.268] iteration:62  t-loss1/2:0.6114/0.5590, loss-lb1/2:0.6114/0.5590, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:48.380] iteration:63  t-loss1/2:0.4899/0.4764, loss-lb1/2:0.4899/0.4764, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:48.491] iteration:64  t-loss1/2:0.7100/0.6620, loss-lb1/2:0.7100/0.6620, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:48.602] iteration:65  t-loss1/2:0.4663/0.4442, loss-lb1/2:0.4663/0.4442, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:48.714] iteration:66  t-loss1/2:0.6137/0.5208, loss-lb1/2:0.6137/0.5208, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:48.825] iteration:67  t-loss1/2:0.5643/0.5311, loss-lb1/2:0.5643/0.5311, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:48.937] iteration:68  t-loss1/2:0.6029/0.5458, loss-lb1/2:0.6029/0.5458, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:49.048] iteration:69  t-loss1/2:0.4489/0.4053, loss-lb1/2:0.4489/0.4053, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:49.159] iteration:70  t-loss1/2:0.6687/0.6228, loss-lb1/2:0.6687/0.6228, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:49.271] iteration:71  t-loss1/2:0.4760/0.5191, loss-lb1/2:0.4760/0.5191, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:49.382] iteration:72  t-loss1/2:0.5445/0.5613, loss-lb1/2:0.5445/0.5613, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:49.494] iteration:73  t-loss1/2:0.5814/0.5867, loss-lb1/2:0.5814/0.5867, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:49.606] iteration:74  t-loss1/2:0.4829/0.4908, loss-lb1/2:0.4829/0.4908, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:49.737] iteration:75  t-loss1/2:0.4662/0.5165, loss-lb1/2:0.4662/0.5165, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:49.853] iteration:76  t-loss1/2:0.6171/0.5677, loss-lb1/2:0.6171/0.5677, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:49.967] iteration:77  t-loss1/2:0.5108/0.5196, loss-lb1/2:0.5108/0.5196, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:50.081] iteration:78  t-loss1/2:0.4700/0.5173, loss-lb1/2:0.4700/0.5173, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
[10:36:50.193] iteration:79  t-loss1/2:0.4403/0.4730, loss-lb1/2:0.4403/0.4730, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
