[21:11:24.439] {'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'ema_decay': 0.99,
 'exp': 'ACDC_base/vtest',
 'flag_pseudo_from_student': False,
 'gpu_id': 0,
 'labeled_bs': 12,
 'labeled_num': 3,
 'loss_type': 'dice',
 'max_iterations': 30000,
 'model': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2,
 'weight_his': 0.4}
[21:11:24.916] Total silices is: 1312, labeled slices is: 68
[21:11:24.916] 103 iterations per epoch
[21:11:26.509] iteration:1  t-loss:4.5980, loss-lb:4.5980, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:26.625] iteration:2  t-loss:3.8606, loss-lb:3.8606, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:26.714] iteration:3  t-loss:3.2711, loss-lb:3.2711, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:26.805] iteration:4  t-loss:2.9200, loss-lb:2.9200, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:26.895] iteration:5  t-loss:2.5910, loss-lb:2.5910, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:26.984] iteration:6  t-loss:2.3611, loss-lb:2.3611, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:27.074] iteration:7  t-loss:2.2927, loss-lb:2.2927, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:27.165] iteration:8  t-loss:2.1021, loss-lb:2.1021, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:27.253] iteration:9  t-loss:2.0642, loss-lb:2.0642, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:27.343] iteration:10  t-loss:1.8744, loss-lb:1.8744, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:27.432] iteration:11  t-loss:1.7941, loss-lb:1.7941, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:27.522] iteration:12  t-loss:1.7389, loss-lb:1.7389, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:27.611] iteration:13  t-loss:1.6335, loss-lb:1.6335, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:27.701] iteration:14  t-loss:1.6074, loss-lb:1.6074, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:27.792] iteration:15  t-loss:1.6482, loss-lb:1.6482, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:27.881] iteration:16  t-loss:1.5959, loss-lb:1.5959, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:27.970] iteration:17  t-loss:1.4744, loss-lb:1.4744, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:28.060] iteration:18  t-loss:1.4280, loss-lb:1.4280, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:28.151] iteration:19  t-loss:1.4698, loss-lb:1.4698, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:28.240] iteration:20  t-loss:1.3363, loss-lb:1.3363, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:28.329] iteration:21  t-loss:1.5376, loss-lb:1.5376, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:28.418] iteration:22  t-loss:1.3497, loss-lb:1.3497, loss-ulb:0.0000, weight:0.01, lr:0.0010
[21:11:28.508] iteration:23  t-loss:1.2314, loss-lb:1.2314, loss-ulb:0.0000, weight:0.01, lr:0.0010
