[10:47:18.515] {'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'ema_decay': 0.99,
 'exp': 'ACDC_base/vbase',
 'flag_pseudo_from_student': False,
 'gpu_id': 0,
 'labeled_bs': 12,
 'labeled_num': 7,
 'max_iterations': 30000,
 'model': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2,
 'weight_his': 0.4}
[10:47:18.986] Total silices is: 1312, labeled slices is: 136
[10:47:18.986] 98 iterations per epoch
[10:47:20.621] iteration:1  t-loss:4.6062, loss-lb:4.6062, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:20.726] iteration:2  t-loss:3.8952, loss-lb:3.8952, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:20.825] iteration:3  t-loss:3.3100, loss-lb:3.3100, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:20.924] iteration:4  t-loss:2.9433, loss-lb:2.9433, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:21.021] iteration:5  t-loss:2.6313, loss-lb:2.6313, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:21.120] iteration:6  t-loss:2.5062, loss-lb:2.5062, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:21.219] iteration:7  t-loss:2.3684, loss-lb:2.3684, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:21.319] iteration:8  t-loss:2.2484, loss-lb:2.2484, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:21.420] iteration:9  t-loss:2.1456, loss-lb:2.1456, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:21.522] iteration:10  t-loss:2.0656, loss-lb:2.0656, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:21.622] iteration:11  t-loss:2.1279, loss-lb:2.1279, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:21.720] iteration:12  t-loss:1.9861, loss-lb:1.9861, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:21.820] iteration:13  t-loss:1.9875, loss-lb:1.9875, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:21.923] iteration:14  t-loss:1.9713, loss-lb:1.9713, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:22.025] iteration:15  t-loss:2.0318, loss-lb:2.0318, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:22.124] iteration:16  t-loss:1.7980, loss-lb:1.7980, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:22.223] iteration:17  t-loss:1.7215, loss-lb:1.7215, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:22.323] iteration:18  t-loss:1.6900, loss-lb:1.6900, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:22.424] iteration:19  t-loss:1.7932, loss-lb:1.7932, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:22.522] iteration:20  t-loss:1.5888, loss-lb:1.5888, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:22.620] iteration:21  t-loss:1.5983, loss-lb:1.5983, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:22.718] iteration:22  t-loss:1.6156, loss-lb:1.6156, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:22.818] iteration:23  t-loss:1.5236, loss-lb:1.5236, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:22.916] iteration:24  t-loss:1.6148, loss-lb:1.6148, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:23.018] iteration:25  t-loss:1.4369, loss-lb:1.4369, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:23.119] iteration:26  t-loss:1.4667, loss-lb:1.4667, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:23.221] iteration:27  t-loss:1.3217, loss-lb:1.3217, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:23.322] iteration:28  t-loss:1.3099, loss-lb:1.3099, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:23.420] iteration:29  t-loss:1.5005, loss-lb:1.5005, loss-ulb:0.0000, weight:0.01, lr:0.0010
[10:47:23.519] iteration:30  t-loss:1.2336, loss-lb:1.2336, loss-ulb:0.0000, weight:0.01, lr:0.0010
