[04:31:35.114] {'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'ema_decay': 0.99,
 'exp': 'ACDC_base/vomega_0_0',
 'flag_pseudo_from_student': False,
 'gpu_id': 0,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2,
 'weight_his': 0.0}
[04:31:35.525] Total silices is: 1312, labeled slices is: 68
[04:31:35.525] 103 iterations per epoch
[04:31:37.195] iteration:1  t-loss:4.5980, loss-lb:4.5980, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:37.300] iteration:2  t-loss:3.8606, loss-lb:3.8606, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:37.399] iteration:3  t-loss:3.2712, loss-lb:3.2712, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:37.499] iteration:4  t-loss:2.9211, loss-lb:2.9211, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:37.598] iteration:5  t-loss:2.5913, loss-lb:2.5913, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:37.699] iteration:6  t-loss:2.3615, loss-lb:2.3615, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:37.799] iteration:7  t-loss:2.2897, loss-lb:2.2897, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:37.902] iteration:8  t-loss:2.1007, loss-lb:2.1007, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:38.003] iteration:9  t-loss:2.0581, loss-lb:2.0581, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:38.105] iteration:10  t-loss:1.8772, loss-lb:1.8772, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:38.207] iteration:11  t-loss:1.7968, loss-lb:1.7968, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:38.306] iteration:12  t-loss:1.7427, loss-lb:1.7427, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:38.408] iteration:13  t-loss:1.6402, loss-lb:1.6402, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:38.511] iteration:14  t-loss:1.5968, loss-lb:1.5968, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:38.614] iteration:15  t-loss:1.6137, loss-lb:1.6137, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:38.712] iteration:16  t-loss:1.5321, loss-lb:1.5321, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:38.813] iteration:17  t-loss:1.6120, loss-lb:1.6120, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:38.915] iteration:18  t-loss:1.4396, loss-lb:1.4396, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:39.018] iteration:19  t-loss:1.4114, loss-lb:1.4114, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:39.120] iteration:20  t-loss:1.3018, loss-lb:1.3018, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:39.222] iteration:21  t-loss:1.3234, loss-lb:1.3234, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:39.323] iteration:22  t-loss:1.3711, loss-lb:1.3711, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:39.425] iteration:23  t-loss:1.1337, loss-lb:1.1337, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:39.526] iteration:24  t-loss:1.1617, loss-lb:1.1617, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:39.626] iteration:25  t-loss:1.0974, loss-lb:1.0974, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:39.727] iteration:26  t-loss:1.0946, loss-lb:1.0946, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:39.831] iteration:27  t-loss:1.1812, loss-lb:1.1812, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:39.932] iteration:28  t-loss:0.9851, loss-lb:0.9851, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:40.033] iteration:29  t-loss:1.0802, loss-lb:1.0802, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:40.134] iteration:30  t-loss:0.9627, loss-lb:0.9627, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:40.237] iteration:31  t-loss:0.9622, loss-lb:0.9622, loss-ulb:0.0000, weight:0.01, lr:0.0010
[04:31:40.338] iteration:32  t-loss:0.9730, loss-lb:0.9730, loss-ulb:0.0000, weight:0.01, lr:0.0010
