[11:46:00.934] {'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'ema_decay': 0.99,
 'exp': 'ACDC_base/vbase',
 'flag_pseudo_from_student': False,
 'gpu_id': 0,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2,
 'weight_his': 0.8}
[11:46:01.370] Total silices is: 1312, labeled slices is: 68
[11:46:01.370] 103 iterations per epoch
[11:46:02.980] iteration:1  t-loss:4.5980, loss-lb:4.5980, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:03.082] iteration:2  t-loss:3.8606, loss-lb:3.8606, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:03.177] iteration:3  t-loss:3.2712, loss-lb:3.2712, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:03.275] iteration:4  t-loss:2.9205, loss-lb:2.9205, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:03.373] iteration:5  t-loss:2.5914, loss-lb:2.5914, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:03.470] iteration:6  t-loss:2.3614, loss-lb:2.3614, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:03.569] iteration:7  t-loss:2.2908, loss-lb:2.2908, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:03.667] iteration:8  t-loss:2.1002, loss-lb:2.1002, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:03.764] iteration:9  t-loss:2.0587, loss-lb:2.0587, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:03.863] iteration:10  t-loss:1.8736, loss-lb:1.8736, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:03.961] iteration:11  t-loss:1.7926, loss-lb:1.7926, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:04.058] iteration:12  t-loss:1.7388, loss-lb:1.7388, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:04.157] iteration:13  t-loss:1.6359, loss-lb:1.6359, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:04.257] iteration:14  t-loss:1.5928, loss-lb:1.5928, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:04.356] iteration:15  t-loss:1.5995, loss-lb:1.5995, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:04.452] iteration:16  t-loss:1.5238, loss-lb:1.5238, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:04.550] iteration:17  t-loss:1.4602, loss-lb:1.4602, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:04.649] iteration:18  t-loss:1.3723, loss-lb:1.3723, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:04.749] iteration:19  t-loss:1.8278, loss-lb:1.8278, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:04.848] iteration:20  t-loss:1.2768, loss-lb:1.2768, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:04.948] iteration:21  t-loss:1.5807, loss-lb:1.5807, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:05.047] iteration:22  t-loss:1.3473, loss-lb:1.3473, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:05.145] iteration:23  t-loss:1.2110, loss-lb:1.2110, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:05.245] iteration:24  t-loss:1.2028, loss-lb:1.2028, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:05.345] iteration:25  t-loss:1.2251, loss-lb:1.2251, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:05.444] iteration:26  t-loss:1.1493, loss-lb:1.1493, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:05.543] iteration:27  t-loss:1.1718, loss-lb:1.1718, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:05.643] iteration:28  t-loss:1.0144, loss-lb:1.0144, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:05.742] iteration:29  t-loss:1.0840, loss-lb:1.0840, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:05.841] iteration:30  t-loss:0.9857, loss-lb:0.9857, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:05.943] iteration:31  t-loss:1.0325, loss-lb:1.0325, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:06.033] iteration:32  t-loss:1.0070, loss-lb:1.0070, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:06.124] iteration:33  t-loss:0.8784, loss-lb:0.8784, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:06.222] iteration:34  t-loss:0.8526, loss-lb:0.8526, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:06.320] iteration:35  t-loss:0.9884, loss-lb:0.9884, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:06.411] iteration:36  t-loss:0.8797, loss-lb:0.8797, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:06.501] iteration:37  t-loss:0.8783, loss-lb:0.8783, loss-ulb:0.0000, weight:0.01, lr:0.0010
[11:46:06.601] iteration:38  t-loss:0.9320, loss-lb:0.9320, loss-ulb:0.0000, weight:0.01, lr:0.0010
