[00:30:30.913] {'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'ema_decay': 0.99,
 'exp': 'ACDC_base/vstru2',
 'flag_pseudo_from_student': False,
 'gpu_id': 3,
 'labeled_bs': 12,
 'labeled_num': 3,
 'loss_type': 'dice',
 'max_iterations': 30000,
 'model': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2,
 'weight_his': 0.4}
[00:30:31.452] Total silices is: 1312, labeled slices is: 68
[00:30:31.453] 103 iterations per epoch
[00:30:33.160] iteration:1  t-loss:4.5980, loss-lb:4.5980, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:33.267] iteration:2  t-loss:3.8606, loss-lb:3.8606, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:33.359] iteration:3  t-loss:3.2711, loss-lb:3.2711, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:33.453] iteration:4  t-loss:2.9199, loss-lb:2.9199, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:33.550] iteration:5  t-loss:2.5909, loss-lb:2.5909, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:33.642] iteration:6  t-loss:2.3610, loss-lb:2.3610, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:33.737] iteration:7  t-loss:2.2922, loss-lb:2.2922, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:33.838] iteration:8  t-loss:2.1014, loss-lb:2.1014, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:33.932] iteration:9  t-loss:2.0629, loss-lb:2.0629, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:34.026] iteration:10  t-loss:1.8760, loss-lb:1.8760, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:34.119] iteration:11  t-loss:1.7947, loss-lb:1.7947, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:34.211] iteration:12  t-loss:1.7421, loss-lb:1.7421, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:34.306] iteration:13  t-loss:1.6368, loss-lb:1.6368, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:34.400] iteration:14  t-loss:1.5975, loss-lb:1.5975, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:34.494] iteration:15  t-loss:1.6230, loss-lb:1.6230, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:34.586] iteration:16  t-loss:1.5406, loss-lb:1.5406, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:34.680] iteration:17  t-loss:1.5745, loss-lb:1.5745, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:34.776] iteration:18  t-loss:1.4374, loss-lb:1.4374, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:34.872] iteration:19  t-loss:1.4150, loss-lb:1.4150, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:34.963] iteration:20  t-loss:1.2990, loss-lb:1.2990, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:35.057] iteration:21  t-loss:1.3189, loss-lb:1.3189, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:35.159] iteration:22  t-loss:1.3359, loss-lb:1.3359, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:35.264] iteration:23  t-loss:1.1372, loss-lb:1.1372, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:35.365] iteration:24  t-loss:1.1177, loss-lb:1.1177, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:35.465] iteration:25  t-loss:1.0911, loss-lb:1.0911, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:35.561] iteration:26  t-loss:1.0866, loss-lb:1.0866, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:35.661] iteration:27  t-loss:1.1637, loss-lb:1.1637, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:35.768] iteration:28  t-loss:0.9585, loss-lb:0.9585, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:35.869] iteration:29  t-loss:1.0524, loss-lb:1.0524, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:35.979] iteration:30  t-loss:0.9516, loss-lb:0.9516, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:36.086] iteration:31  t-loss:0.9933, loss-lb:0.9933, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:36.187] iteration:32  t-loss:0.9719, loss-lb:0.9719, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:36.290] iteration:33  t-loss:0.7978, loss-lb:0.7978, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:36.388] iteration:34  t-loss:0.8414, loss-lb:0.8414, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:36.488] iteration:35  t-loss:1.0325, loss-lb:1.0325, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:36.594] iteration:36  t-loss:0.8282, loss-lb:0.8282, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:36.699] iteration:37  t-loss:0.8237, loss-lb:0.8237, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:36.800] iteration:38  t-loss:0.9140, loss-lb:0.9140, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:36.898] iteration:39  t-loss:0.8485, loss-lb:0.8485, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:36.990] iteration:40  t-loss:0.8306, loss-lb:0.8306, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:37.085] iteration:41  t-loss:0.7629, loss-lb:0.7629, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:37.180] iteration:42  t-loss:0.6931, loss-lb:0.6931, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:37.277] iteration:43  t-loss:1.0451, loss-lb:1.0451, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:37.374] iteration:44  t-loss:0.8347, loss-lb:0.8347, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:37.468] iteration:45  t-loss:0.7565, loss-lb:0.7565, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:37.566] iteration:46  t-loss:0.8400, loss-lb:0.8400, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:37.662] iteration:47  t-loss:0.6804, loss-lb:0.6804, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:37.755] iteration:48  t-loss:0.7543, loss-lb:0.7543, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:37.851] iteration:49  t-loss:0.6632, loss-lb:0.6632, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:37.946] iteration:50  t-loss:0.5920, loss-lb:0.5920, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:38.041] iteration:51  t-loss:0.7439, loss-lb:0.7439, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:38.137] iteration:52  t-loss:0.7131, loss-lb:0.7131, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:38.233] iteration:53  t-loss:0.5788, loss-lb:0.5788, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:38.327] iteration:54  t-loss:0.6065, loss-lb:0.6065, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:38.424] iteration:55  t-loss:0.5730, loss-lb:0.5730, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:38.520] iteration:56  t-loss:0.7101, loss-lb:0.7101, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:38.615] iteration:57  t-loss:0.5364, loss-lb:0.5364, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:38.713] iteration:58  t-loss:0.6690, loss-lb:0.6690, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:38.808] iteration:59  t-loss:0.5462, loss-lb:0.5462, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:38.904] iteration:60  t-loss:0.5702, loss-lb:0.5702, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:39.001] iteration:61  t-loss:0.5762, loss-lb:0.5762, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:39.100] iteration:62  t-loss:0.5341, loss-lb:0.5341, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:39.197] iteration:63  t-loss:0.4492, loss-lb:0.4492, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:39.297] iteration:64  t-loss:0.4554, loss-lb:0.4554, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:39.398] iteration:65  t-loss:0.5440, loss-lb:0.5440, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:39.497] iteration:66  t-loss:0.4949, loss-lb:0.4949, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:39.606] iteration:67  t-loss:0.5317, loss-lb:0.5317, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:39.711] iteration:68  t-loss:0.4116, loss-lb:0.4116, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:39.810] iteration:69  t-loss:0.4477, loss-lb:0.4477, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:39.906] iteration:70  t-loss:0.5173, loss-lb:0.5173, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:40.004] iteration:71  t-loss:0.4710, loss-lb:0.4710, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:40.104] iteration:72  t-loss:0.5015, loss-lb:0.5015, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:40.201] iteration:73  t-loss:0.4345, loss-lb:0.4345, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:40.297] iteration:74  t-loss:0.5265, loss-lb:0.5265, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:40.396] iteration:75  t-loss:0.4524, loss-lb:0.4524, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:40.491] iteration:76  t-loss:0.3345, loss-lb:0.3345, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:40.591] iteration:77  t-loss:0.4828, loss-lb:0.4828, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:40.687] iteration:78  t-loss:0.4612, loss-lb:0.4612, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:40.786] iteration:79  t-loss:0.5168, loss-lb:0.5168, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:40.883] iteration:80  t-loss:0.3960, loss-lb:0.3960, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:40.983] iteration:81  t-loss:0.3366, loss-lb:0.3366, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:41.079] iteration:82  t-loss:0.3759, loss-lb:0.3759, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:41.181] iteration:83  t-loss:0.3838, loss-lb:0.3838, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:41.278] iteration:84  t-loss:0.3828, loss-lb:0.3828, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:41.373] iteration:85  t-loss:0.4564, loss-lb:0.4564, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:41.470] iteration:86  t-loss:0.3549, loss-lb:0.3549, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:41.571] iteration:87  t-loss:0.3072, loss-lb:0.3072, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:41.670] iteration:88  t-loss:0.4084, loss-lb:0.4084, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:41.769] iteration:89  t-loss:0.3745, loss-lb:0.3745, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:41.870] iteration:90  t-loss:0.5675, loss-lb:0.5675, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:41.968] iteration:91  t-loss:0.3355, loss-lb:0.3355, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:42.065] iteration:92  t-loss:0.3178, loss-lb:0.3178, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:42.160] iteration:93  t-loss:0.4132, loss-lb:0.4132, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:42.261] iteration:94  t-loss:0.3675, loss-lb:0.3675, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:30:42.359] iteration:95  t-loss:0.6028, loss-lb:0.6028, loss-ulb:0.0000, weight:0.01, lr:0.0010
