[17:25:37.819] {'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'cm_rate': 0.2,
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'ema_decay': 0.99,
 'exp': 'gamma-test/v_omega_0.5_gamma_0.05_loss_rnkc_mode_6_stage_4',
 'gamma': 0.05,
 'gpu_id': 2,
 'hist_weight': 0.5,
 'labeled_bs': 12,
 'labeled_num': 3,
 'loss_type': 'rnkc',
 'max_iterations': 30000,
 'model': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'stage_k': 4,
 'test_interval_ep': 2,
 'threshold': 0.95,
 'train_mode': 6}
[17:25:39.686] Total silices is: 1312, labeled slices is: 68
[17:25:39.687] 103 iterations per epoch
[17:25:41.469] iteration:1  t-loss:1.1861, loss-lb:1.1861, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:41.568] iteration:2  t-loss:1.0485, loss-lb:1.0485, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:41.662] iteration:3  t-loss:0.9286, loss-lb:0.9286, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:41.755] iteration:4  t-loss:0.8311, loss-lb:0.8311, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:41.842] iteration:5  t-loss:0.7608, loss-lb:0.7608, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:41.928] iteration:6  t-loss:0.6963, loss-lb:0.6963, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:42.015] iteration:7  t-loss:0.6712, loss-lb:0.6712, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:42.109] iteration:8  t-loss:0.6187, loss-lb:0.6187, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:42.203] iteration:9  t-loss:0.5983, loss-lb:0.5983, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:42.299] iteration:10  t-loss:0.5565, loss-lb:0.5565, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:42.397] iteration:11  t-loss:0.5322, loss-lb:0.5322, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:42.492] iteration:12  t-loss:0.5159, loss-lb:0.5159, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:42.586] iteration:13  t-loss:0.4933, loss-lb:0.4933, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:42.682] iteration:14  t-loss:0.4810, loss-lb:0.4810, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:42.777] iteration:15  t-loss:0.4551, loss-lb:0.4551, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:42.873] iteration:16  t-loss:0.4459, loss-lb:0.4459, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:42.966] iteration:17  t-loss:0.4385, loss-lb:0.4385, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:43.063] iteration:18  t-loss:0.4146, loss-lb:0.4146, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:43.157] iteration:19  t-loss:0.4159, loss-lb:0.4159, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:43.252] iteration:20  t-loss:0.3845, loss-lb:0.3845, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:43.345] iteration:21  t-loss:0.3673, loss-lb:0.3673, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:43.439] iteration:22  t-loss:0.3581, loss-lb:0.3581, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:43.533] iteration:23  t-loss:0.3321, loss-lb:0.3321, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:43.626] iteration:24  t-loss:0.2989, loss-lb:0.2989, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:43.718] iteration:25  t-loss:0.2959, loss-lb:0.2959, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:43.812] iteration:26  t-loss:0.3121, loss-lb:0.3121, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:43.915] iteration:27  t-loss:0.2977, loss-lb:0.2977, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:44.011] iteration:28  t-loss:0.3654, loss-lb:0.3654, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:44.104] iteration:29  t-loss:0.2883, loss-lb:0.2883, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:44.200] iteration:30  t-loss:0.3038, loss-lb:0.3038, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:44.295] iteration:31  t-loss:0.2534, loss-lb:0.2534, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:44.390] iteration:32  t-loss:0.2812, loss-lb:0.2812, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:44.482] iteration:33  t-loss:0.2656, loss-lb:0.2656, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:44.575] iteration:34  t-loss:0.2385, loss-lb:0.2385, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:44.669] iteration:35  t-loss:0.2723, loss-lb:0.2723, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:44.757] iteration:36  t-loss:0.2394, loss-lb:0.2394, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:44.849] iteration:37  t-loss:0.2412, loss-lb:0.2412, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:44.935] iteration:38  t-loss:0.2296, loss-lb:0.2296, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:45.029] iteration:39  t-loss:0.2404, loss-lb:0.2404, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:45.117] iteration:40  t-loss:0.2314, loss-lb:0.2314, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:45.205] iteration:41  t-loss:0.2246, loss-lb:0.2246, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:45.294] iteration:42  t-loss:0.1946, loss-lb:0.1946, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:45.391] iteration:43  t-loss:0.2262, loss-lb:0.2262, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:45.486] iteration:44  t-loss:0.2254, loss-lb:0.2254, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:45.581] iteration:45  t-loss:0.2363, loss-lb:0.2363, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:45.670] iteration:46  t-loss:0.2462, loss-lb:0.2462, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:45.764] iteration:47  t-loss:0.2096, loss-lb:0.2096, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:45.860] iteration:48  t-loss:0.1890, loss-lb:0.1890, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:45.946] iteration:49  t-loss:0.2041, loss-lb:0.2041, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:46.042] iteration:50  t-loss:0.1998, loss-lb:0.1998, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:46.139] iteration:51  t-loss:0.2005, loss-lb:0.2005, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:46.234] iteration:52  t-loss:0.2002, loss-lb:0.2002, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:46.327] iteration:53  t-loss:0.2070, loss-lb:0.2070, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:46.421] iteration:54  t-loss:0.1824, loss-lb:0.1824, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:46.515] iteration:55  t-loss:0.2000, loss-lb:0.2000, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:46.610] iteration:56  t-loss:0.1611, loss-lb:0.1611, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:46.707] iteration:57  t-loss:0.1684, loss-lb:0.1684, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:46.794] iteration:58  t-loss:0.2288, loss-lb:0.2288, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:46.884] iteration:59  t-loss:0.1577, loss-lb:0.1577, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:46.978] iteration:60  t-loss:0.1676, loss-lb:0.1676, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:47.064] iteration:61  t-loss:0.1355, loss-lb:0.1355, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:47.151] iteration:62  t-loss:0.1497, loss-lb:0.1497, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:47.240] iteration:63  t-loss:0.1257, loss-lb:0.1257, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:47.335] iteration:64  t-loss:0.1502, loss-lb:0.1502, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:47.421] iteration:65  t-loss:0.1439, loss-lb:0.1439, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:47.510] iteration:66  t-loss:0.1290, loss-lb:0.1290, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:47.599] iteration:67  t-loss:0.1457, loss-lb:0.1457, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:47.694] iteration:68  t-loss:0.1316, loss-lb:0.1316, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:47.788] iteration:69  t-loss:0.1418, loss-lb:0.1418, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:47.884] iteration:70  t-loss:0.1309, loss-lb:0.1309, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:47.980] iteration:71  t-loss:0.1587, loss-lb:0.1587, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:48.074] iteration:72  t-loss:0.1698, loss-lb:0.1698, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:48.169] iteration:73  t-loss:0.1036, loss-lb:0.1036, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:48.263] iteration:74  t-loss:0.0919, loss-lb:0.0919, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:48.359] iteration:75  t-loss:0.1331, loss-lb:0.1331, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:48.464] iteration:76  t-loss:0.1346, loss-lb:0.1346, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:48.562] iteration:77  t-loss:0.1608, loss-lb:0.1608, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:48.657] iteration:78  t-loss:0.1126, loss-lb:0.1126, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:48.752] iteration:79  t-loss:0.1906, loss-lb:0.1906, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:48.845] iteration:80  t-loss:0.1586, loss-lb:0.1586, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:48.939] iteration:81  t-loss:0.1057, loss-lb:0.1057, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:49.027] iteration:82  t-loss:0.1174, loss-lb:0.1174, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:49.123] iteration:83  t-loss:0.1743, loss-lb:0.1743, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:49.221] iteration:84  t-loss:0.1670, loss-lb:0.1670, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:49.316] iteration:85  t-loss:0.1342, loss-lb:0.1342, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:49.412] iteration:86  t-loss:0.0961, loss-lb:0.0961, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:49.506] iteration:87  t-loss:0.1893, loss-lb:0.1893, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:49.600] iteration:88  t-loss:0.1764, loss-lb:0.1764, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:49.694] iteration:89  t-loss:0.1571, loss-lb:0.1571, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:49.788] iteration:90  t-loss:0.1501, loss-lb:0.1501, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:49.885] iteration:91  t-loss:0.1582, loss-lb:0.1582, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:49.979] iteration:92  t-loss:0.0945, loss-lb:0.0945, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:50.072] iteration:93  t-loss:0.0939, loss-lb:0.0939, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:50.167] iteration:94  t-loss:0.1256, loss-lb:0.1256, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:50.261] iteration:95  t-loss:0.1007, loss-lb:0.1007, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:50.349] iteration:96  t-loss:0.1074, loss-lb:0.1074, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:50.442] iteration:97  t-loss:0.0955, loss-lb:0.0955, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:50.534] iteration:98  t-loss:0.0919, loss-lb:0.0919, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:50.627] iteration:99  t-loss:0.1027, loss-lb:0.1027, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:50.718] iteration:100  t-loss:0.1066, loss-lb:0.1066, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:50.809] iteration:101  t-loss:0.1042, loss-lb:0.1042, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:50.900] iteration:102  t-loss:0.1000, loss-lb:0.1000, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:25:50.991] iteration:103  t-loss:0.1262, loss-lb:0.1262, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:02.814]  <<Test>> - Ep:0  - mean_dice/mean_h95 - S:33.86/21.23, Best-S:33.86, T:48.54/36.80, Best-T:48.54
[17:26:02.814]           - AvgLoss(lb/ulb/all):0.2708/0.0000/0.1239
[17:26:03.318] iteration:104  t-loss:0.0885, loss-lb:0.0885, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:03.428] iteration:105  t-loss:0.1226, loss-lb:0.1226, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:03.521] iteration:106  t-loss:0.0947, loss-lb:0.0947, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:03.615] iteration:107  t-loss:0.1574, loss-lb:0.1574, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:03.714] iteration:108  t-loss:0.1549, loss-lb:0.1549, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:03.810] iteration:109  t-loss:0.0932, loss-lb:0.0932, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:03.904] iteration:110  t-loss:0.1054, loss-lb:0.1054, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:03.996] iteration:111  t-loss:0.1064, loss-lb:0.1064, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:04.090] iteration:112  t-loss:0.0925, loss-lb:0.0925, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:04.186] iteration:113  t-loss:0.0989, loss-lb:0.0989, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:04.283] iteration:114  t-loss:0.0817, loss-lb:0.0817, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:04.377] iteration:115  t-loss:0.0983, loss-lb:0.0983, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:04.471] iteration:116  t-loss:0.0942, loss-lb:0.0942, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:04.568] iteration:117  t-loss:0.0805, loss-lb:0.0805, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:04.662] iteration:118  t-loss:0.0964, loss-lb:0.0964, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:04.750] iteration:119  t-loss:0.1088, loss-lb:0.1088, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:04.837] iteration:120  t-loss:0.0857, loss-lb:0.0857, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:04.934] iteration:121  t-loss:0.1100, loss-lb:0.1100, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:05.026] iteration:122  t-loss:0.1563, loss-lb:0.1563, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:05.113] iteration:123  t-loss:0.0688, loss-lb:0.0688, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:05.214] iteration:124  t-loss:0.0723, loss-lb:0.0723, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:05.314] iteration:125  t-loss:0.0848, loss-lb:0.0848, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:05.413] iteration:126  t-loss:0.0934, loss-lb:0.0934, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:05.514] iteration:127  t-loss:0.0865, loss-lb:0.0865, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:05.610] iteration:128  t-loss:0.0856, loss-lb:0.0856, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:05.706] iteration:129  t-loss:0.0935, loss-lb:0.0935, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:05.802] iteration:130  t-loss:0.1012, loss-lb:0.1012, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:05.891] iteration:131  t-loss:0.0715, loss-lb:0.0715, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:05.988] iteration:132  t-loss:0.0868, loss-lb:0.0868, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:06.080] iteration:133  t-loss:0.0779, loss-lb:0.0779, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:06.165] iteration:134  t-loss:0.0689, loss-lb:0.0689, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:06.250] iteration:135  t-loss:0.0791, loss-lb:0.0791, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:06.354] iteration:136  t-loss:0.0639, loss-lb:0.0639, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:06.449] iteration:137  t-loss:0.1114, loss-lb:0.1114, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:06.536] iteration:138  t-loss:0.0633, loss-lb:0.0633, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:06.622] iteration:139  t-loss:0.0744, loss-lb:0.0744, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:06.728] iteration:140  t-loss:0.0625, loss-lb:0.0625, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:06.815] iteration:141  t-loss:0.0809, loss-lb:0.0809, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:06.908] iteration:142  t-loss:0.0843, loss-lb:0.0843, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:07.003] iteration:143  t-loss:0.0817, loss-lb:0.0817, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:07.094] iteration:144  t-loss:0.0979, loss-lb:0.0979, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:07.186] iteration:145  t-loss:0.0559, loss-lb:0.0559, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:07.281] iteration:146  t-loss:0.0663, loss-lb:0.0663, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:07.377] iteration:147  t-loss:0.0625, loss-lb:0.0625, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:07.465] iteration:148  t-loss:0.0701, loss-lb:0.0701, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:07.551] iteration:149  t-loss:0.0608, loss-lb:0.0608, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:07.640] iteration:150  t-loss:0.0685, loss-lb:0.0685, loss-ulb:0.0000, weight:0.01, lr:0.0010
[17:26:07.735] iteration:151  t-loss:0.0728, loss-lb:0.0728, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:07.826] iteration:152  t-loss:0.1108, loss-lb:0.1108, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:07.913] iteration:153  t-loss:0.0638, loss-lb:0.0638, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:07.999] iteration:154  t-loss:0.0993, loss-lb:0.0993, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:08.093] iteration:155  t-loss:0.0638, loss-lb:0.0638, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:08.197] iteration:156  t-loss:0.0550, loss-lb:0.0550, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:08.285] iteration:157  t-loss:0.0668, loss-lb:0.0668, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:08.375] iteration:158  t-loss:0.0746, loss-lb:0.0746, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:08.470] iteration:159  t-loss:0.0713, loss-lb:0.0713, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:08.574] iteration:160  t-loss:0.0744, loss-lb:0.0744, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:08.664] iteration:161  t-loss:0.0675, loss-lb:0.0675, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:08.751] iteration:162  t-loss:0.0913, loss-lb:0.0913, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:08.858] iteration:163  t-loss:0.0947, loss-lb:0.0947, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:08.951] iteration:164  t-loss:0.0601, loss-lb:0.0601, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:09.040] iteration:165  t-loss:0.0593, loss-lb:0.0593, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:09.126] iteration:166  t-loss:0.0581, loss-lb:0.0581, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:09.217] iteration:167  t-loss:0.0681, loss-lb:0.0681, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:09.304] iteration:168  t-loss:0.0656, loss-lb:0.0656, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:09.392] iteration:169  t-loss:0.0800, loss-lb:0.0800, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:09.482] iteration:170  t-loss:0.0796, loss-lb:0.0796, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:09.572] iteration:171  t-loss:0.0888, loss-lb:0.0888, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:09.660] iteration:172  t-loss:0.0506, loss-lb:0.0506, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:09.752] iteration:173  t-loss:0.1077, loss-lb:0.1077, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:09.848] iteration:174  t-loss:0.0596, loss-lb:0.0596, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:09.944] iteration:175  t-loss:0.0903, loss-lb:0.0903, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:10.039] iteration:176  t-loss:0.0732, loss-lb:0.0732, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:10.136] iteration:177  t-loss:0.0585, loss-lb:0.0585, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:10.231] iteration:178  t-loss:0.0672, loss-lb:0.0672, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:10.327] iteration:179  t-loss:0.0653, loss-lb:0.0653, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:10.429] iteration:180  t-loss:0.0678, loss-lb:0.0678, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:10.527] iteration:181  t-loss:0.0689, loss-lb:0.0689, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:10.628] iteration:182  t-loss:0.0514, loss-lb:0.0514, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:10.715] iteration:183  t-loss:0.0652, loss-lb:0.0652, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:10.808] iteration:184  t-loss:0.0604, loss-lb:0.0604, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:10.901] iteration:185  t-loss:0.0548, loss-lb:0.0548, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:10.987] iteration:186  t-loss:0.0537, loss-lb:0.0537, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:11.081] iteration:187  t-loss:0.0804, loss-lb:0.0804, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:11.170] iteration:188  t-loss:0.0834, loss-lb:0.0834, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:11.259] iteration:189  t-loss:0.0597, loss-lb:0.0597, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:11.353] iteration:190  t-loss:0.0509, loss-lb:0.0509, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:11.441] iteration:191  t-loss:0.0584, loss-lb:0.0584, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:11.532] iteration:192  t-loss:0.0868, loss-lb:0.0868, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:11.619] iteration:193  t-loss:0.0552, loss-lb:0.0552, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:11.709] iteration:194  t-loss:0.0824, loss-lb:0.0824, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:11.796] iteration:195  t-loss:0.0517, loss-lb:0.0517, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:11.882] iteration:196  t-loss:0.0439, loss-lb:0.0439, loss-ulb:0.0000, weight:0.02, lr:0.0010
[17:26:11.970] iteration:197  t-loss:0.1094, loss-lb:0.1094, loss-ulb:0.0000, weight:0.02, lr:0.0010
