[05:37:23.900] {'base_lr': 0.001,
 'batch_size': 4,
 'cfg': 'config_3d_la_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 40,
 'deterministic': 1,
 'ema_decay': 0.99,
 'exp': 'LA_base/vomega_0_2',
 'gpu_id': 1,
 'labeled_bs': 2,
 'labeled_num': 4,
 'max_iterations': 15000,
 'max_samples': 80,
 'model': 'vnet_hsseg',
 'num_classes': 2,
 'patch_size': [112, 112, 80],
 'poly': True,
 'res_path': './results/LA',
 'root_path': '/home/chenyu/SSMIS/data/LA',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 4,
 'test_interval_iter': 200,
 'weight_his': 0.2,
 'workers': 4}
[05:37:24.418] 38 iterations per epoch
[05:37:26.022] iteration:1  t-loss:2.3309, loss-lb:2.3309, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:26.229] iteration:2  t-loss:1.9757, loss-lb:1.9757, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:26.427] iteration:3  t-loss:1.6386, loss-lb:1.6386, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:26.628] iteration:4  t-loss:1.5016, loss-lb:1.5016, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:26.832] iteration:5  t-loss:1.6910, loss-lb:1.6910, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:27.031] iteration:6  t-loss:1.6161, loss-lb:1.6161, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:27.228] iteration:7  t-loss:1.3641, loss-lb:1.3641, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:27.425] iteration:8  t-loss:1.3534, loss-lb:1.3534, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:27.623] iteration:9  t-loss:1.3571, loss-lb:1.3571, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:27.816] iteration:10  t-loss:1.1996, loss-lb:1.1996, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:28.008] iteration:11  t-loss:1.0930, loss-lb:1.0930, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:28.203] iteration:12  t-loss:1.1713, loss-lb:1.1713, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:28.402] iteration:13  t-loss:1.2563, loss-lb:1.2563, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:28.601] iteration:14  t-loss:1.0892, loss-lb:1.0892, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:28.800] iteration:15  t-loss:1.2703, loss-lb:1.2703, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:28.996] iteration:16  t-loss:1.0373, loss-lb:1.0373, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:29.196] iteration:17  t-loss:0.9265, loss-lb:0.9265, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:29.393] iteration:18  t-loss:0.9877, loss-lb:0.9877, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:29.594] iteration:19  t-loss:1.4042, loss-lb:1.4042, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:29.793] iteration:20  t-loss:1.2508, loss-lb:1.2508, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:29.993] iteration:21  t-loss:1.1108, loss-lb:1.1108, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:30.191] iteration:22  t-loss:1.0089, loss-lb:1.0089, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:30.385] iteration:23  t-loss:1.7233, loss-lb:1.7233, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:30.581] iteration:24  t-loss:1.7883, loss-lb:1.7883, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:30.781] iteration:25  t-loss:1.1288, loss-lb:1.1288, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:30.976] iteration:26  t-loss:1.0647, loss-lb:1.0647, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:31.172] iteration:27  t-loss:1.0002, loss-lb:1.0002, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:31.368] iteration:28  t-loss:1.1108, loss-lb:1.1108, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:31.564] iteration:29  t-loss:1.1431, loss-lb:1.1431, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:31.763] iteration:30  t-loss:1.0051, loss-lb:1.0051, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:31.958] iteration:31  t-loss:1.0523, loss-lb:1.0523, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:32.153] iteration:32  t-loss:1.0849, loss-lb:1.0849, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:32.350] iteration:33  t-loss:1.1753, loss-lb:1.1753, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:32.543] iteration:34  t-loss:1.0605, loss-lb:1.0605, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:32.739] iteration:35  t-loss:0.7604, loss-lb:0.7604, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:32.935] iteration:36  t-loss:0.8497, loss-lb:0.8497, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:33.140] iteration:37  t-loss:0.9904, loss-lb:0.9904, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:37:33.344] iteration:38  t-loss:0.9351, loss-lb:0.9351, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:28.218] iteration 38 : dice_score: 0.315397 best_dice: 0.315400
[05:38:28.219]  <<Test>> - Ep:0  - Dice-S/T:31.54/31.54, Best-S:31.54, Best-T:31.54
[05:38:28.219]           - AvgLoss(lb/ulb/all):1.25/0.00/1.13
[05:38:29.050] iteration:39  t-loss:1.4216, loss-lb:1.4216, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:29.261] iteration:40  t-loss:0.7387, loss-lb:0.7387, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:29.468] iteration:41  t-loss:1.0157, loss-lb:1.0157, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:29.675] iteration:42  t-loss:0.9436, loss-lb:0.9436, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:29.878] iteration:43  t-loss:0.8141, loss-lb:0.8141, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:30.077] iteration:44  t-loss:1.0864, loss-lb:1.0864, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:30.281] iteration:45  t-loss:1.1201, loss-lb:1.1201, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:30.478] iteration:46  t-loss:1.1488, loss-lb:1.1488, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:30.680] iteration:47  t-loss:1.1151, loss-lb:1.1151, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:30.880] iteration:48  t-loss:0.8582, loss-lb:0.8582, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:31.081] iteration:49  t-loss:0.7381, loss-lb:0.7381, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:31.279] iteration:50  t-loss:0.6718, loss-lb:0.6718, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:31.480] iteration:51  t-loss:0.8647, loss-lb:0.8647, loss-ulb:0.0000, weight:0.01, lr:0.0010
[05:38:31.680] iteration:52  t-loss:0.8569, loss-lb:0.8569, loss-ulb:0.0000, weight:0.01, lr:0.0010
