[00:14:08.146] {'base_lr': 0.001,
 'batch_size': 4,
 'cfg': 'config_3d_la_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 40,
 'deterministic': 1,
 'ema_decay': 0.99,
 'exp': 'LA_base/vstru',
 'gpu_id': 3,
 'labeled_bs': 2,
 'labeled_num': 4,
 'max_iterations': 15000,
 'max_samples': 80,
 'model': 'vnet_hsseg',
 'num_classes': 2,
 'patch_size': [112, 112, 80],
 'poly': True,
 'res_path': './results/LA',
 'root_path': '/home/chenyu/SSMIS/data/LA',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 4,
 'test_interval_iter': 200,
 'weight_his': 0.8,
 'workers': 4}
[00:14:08.739] 38 iterations per epoch
[00:14:10.574] iteration:1  t-loss:2.3309, loss-lb:2.3309, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:14:10.772] iteration:2  t-loss:1.9758, loss-lb:1.9758, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:14:10.962] iteration:3  t-loss:1.6397, loss-lb:1.6397, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:14:11.153] iteration:4  t-loss:1.4873, loss-lb:1.4873, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:14:11.351] iteration:5  t-loss:1.6975, loss-lb:1.6975, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:14:11.544] iteration:6  t-loss:1.6032, loss-lb:1.6032, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:14:11.731] iteration:7  t-loss:1.3562, loss-lb:1.3562, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:14:11.921] iteration:8  t-loss:1.3450, loss-lb:1.3450, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:14:12.115] iteration:9  t-loss:1.3474, loss-lb:1.3474, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:14:12.312] iteration:10  t-loss:1.2438, loss-lb:1.2438, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:14:12.505] iteration:11  t-loss:1.1079, loss-lb:1.1079, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:14:12.693] iteration:12  t-loss:1.1862, loss-lb:1.1862, loss-ulb:0.0000, weight:0.01, lr:0.0010
[00:14:12.884] iteration:13  t-loss:1.2703, loss-lb:1.2703, loss-ulb:0.0000, weight:0.01, lr:0.0010
