[23:07:00.511] {'base_lr': 0.001,
 'batch_size': 4,
 'cfg': 'config_3d_la_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 40,
 'deterministic': 1,
 'ema_decay': 0.99,
 'exp': 'omega_test/v_hist_weight_0.5',
 'gamma': 0.05,
 'gpu_id': 2,
 'hist_weight': 0.5,
 'labeled_bs': 2,
 'labeled_num': 4,
 'loss_type': 'rnkc',
 'max_iterations': 15000,
 'max_samples': 80,
 'model': 'vnet_hsseg',
 'num_classes': 2,
 'patch_size': [112, 112, 80],
 'poly': True,
 'res_path': './results/LA',
 'root_path': '/home/chenyu/SSMIS/data/LA',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'stage_k': 4,
 'test_interval_ep': 4,
 'test_interval_iter': 200,
 'threshold': 0.75,
 'train_mode': 6,
 'workers': 4}
[23:07:02.476] 38 iterations per epoch
[23:07:04.833] iteration:1  t-loss:0.5524, loss-lb:0.5524, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:05.062] iteration:2  t-loss:0.4690, loss-lb:0.4690, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:05.269] iteration:3  t-loss:0.4329, loss-lb:0.4329, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:05.480] iteration:4  t-loss:0.3627, loss-lb:0.3627, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:05.697] iteration:5  t-loss:0.4793, loss-lb:0.4793, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:05.909] iteration:6  t-loss:0.3774, loss-lb:0.3774, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:06.167] iteration:7  t-loss:0.3475, loss-lb:0.3475, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:06.408] iteration:8  t-loss:0.3848, loss-lb:0.3848, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:06.647] iteration:9  t-loss:0.3636, loss-lb:0.3636, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:06.891] iteration:10  t-loss:0.3258, loss-lb:0.3258, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:07.132] iteration:11  t-loss:0.3320, loss-lb:0.3320, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:07.361] iteration:12  t-loss:0.3551, loss-lb:0.3551, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:07.617] iteration:13  t-loss:0.3757, loss-lb:0.3757, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:07.856] iteration:14  t-loss:0.2763, loss-lb:0.2763, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:08.086] iteration:15  t-loss:0.3054, loss-lb:0.3054, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:08.327] iteration:16  t-loss:0.2756, loss-lb:0.2756, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:08.552] iteration:17  t-loss:0.2489, loss-lb:0.2489, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:08.769] iteration:18  t-loss:0.2549, loss-lb:0.2549, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:08.981] iteration:19  t-loss:0.4576, loss-lb:0.4576, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:09.193] iteration:20  t-loss:0.2998, loss-lb:0.2998, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:09.410] iteration:21  t-loss:0.3664, loss-lb:0.3664, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:09.631] iteration:22  t-loss:0.2532, loss-lb:0.2532, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:09.840] iteration:23  t-loss:0.3006, loss-lb:0.3006, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:10.051] iteration:24  t-loss:0.3101, loss-lb:0.3101, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:10.270] iteration:25  t-loss:0.3094, loss-lb:0.3094, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:10.496] iteration:26  t-loss:0.2583, loss-lb:0.2583, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:10.734] iteration:27  t-loss:0.2934, loss-lb:0.2934, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:10.975] iteration:28  t-loss:0.2722, loss-lb:0.2722, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:11.231] iteration:29  t-loss:0.3219, loss-lb:0.3219, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:11.456] iteration:30  t-loss:0.2635, loss-lb:0.2635, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:11.695] iteration:31  t-loss:0.3052, loss-lb:0.3052, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:11.927] iteration:32  t-loss:0.2617, loss-lb:0.2617, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:12.138] iteration:33  t-loss:0.2803, loss-lb:0.2803, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:12.333] iteration:34  t-loss:0.2833, loss-lb:0.2833, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:12.526] iteration:35  t-loss:0.2581, loss-lb:0.2581, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:12.724] iteration:36  t-loss:0.2584, loss-lb:0.2584, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:12.922] iteration:37  t-loss:0.2689, loss-lb:0.2689, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:07:13.115] iteration:38  t-loss:0.2945, loss-lb:0.2945, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:11.733] iteration 38 : dice_score: 0.591448 best_dice: 0.591400
[23:08:11.733]  <<Test>> - Ep:0  - Dice-S/T:59.14/59.14, Best-S:59.14, Best-T:59.14
[23:08:11.733]           - AvgLoss(lb/ulb/all):0.33/0.00/0.30
[23:08:12.728] iteration:39  t-loss:0.2727, loss-lb:0.2727, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:12.950] iteration:40  t-loss:0.2511, loss-lb:0.2511, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:13.178] iteration:41  t-loss:0.2534, loss-lb:0.2534, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:13.404] iteration:42  t-loss:0.2574, loss-lb:0.2574, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:13.625] iteration:43  t-loss:0.2302, loss-lb:0.2302, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:13.840] iteration:44  t-loss:0.3050, loss-lb:0.3050, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:14.053] iteration:45  t-loss:0.2341, loss-lb:0.2341, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:14.268] iteration:46  t-loss:0.2714, loss-lb:0.2714, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:14.482] iteration:47  t-loss:0.2839, loss-lb:0.2839, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:14.685] iteration:48  t-loss:0.2216, loss-lb:0.2216, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:14.882] iteration:49  t-loss:0.1954, loss-lb:0.1954, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:15.081] iteration:50  t-loss:0.2182, loss-lb:0.2182, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:15.281] iteration:51  t-loss:0.2251, loss-lb:0.2251, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:15.483] iteration:52  t-loss:0.1935, loss-lb:0.1935, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:15.682] iteration:53  t-loss:0.2174, loss-lb:0.2174, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:15.885] iteration:54  t-loss:0.2305, loss-lb:0.2305, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:16.086] iteration:55  t-loss:0.1959, loss-lb:0.1959, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:16.283] iteration:56  t-loss:0.1643, loss-lb:0.1643, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:16.478] iteration:57  t-loss:0.2274, loss-lb:0.2274, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:16.675] iteration:58  t-loss:0.2563, loss-lb:0.2563, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:16.878] iteration:59  t-loss:0.3121, loss-lb:0.3121, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:17.076] iteration:60  t-loss:0.2459, loss-lb:0.2459, loss-ulb:0.0000, weight:0.01, lr:0.0010
[23:08:17.276] iteration:61  t-loss:0.3287, loss-lb:0.3287, loss-ulb:0.0000, weight:0.01, lr:0.0010
